# FONLL heavy quark hadroproduction cross section, calculated on Tue Mar 24 20:48:14 CET 2020
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = D from a single B. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# BR(B->D) = 1
# ebeam1 = 2515, ebeam2 = 2515
# PDF set = CTEQ6.6
# ptmin = 0.025
# ptmax = 50.025
# ymin  = -0.5
# ymax  = 0.5
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
pt central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
3.2250 4.5530e+06 2.9817e+06 6.5706e+06 3.1710e+06 6.3900e+06 3.9690e+06 5.2450e+06 4.0860e+06 5.0190e+06 4.8030e+06 4.2980e+06 5.4750e+06 3.4250e+06 6.3900e+06 3.1710e+06
3.2750 4.4310e+06 2.9127e+06 6.3916e+06 3.0950e+06 6.2180e+06 3.8680e+06 5.0990e+06 3.9800e+06 4.8830e+06 4.6840e+06 4.1790e+06 5.3250e+06 3.3340e+06 6.2180e+06 3.0950e+06
3.3250 4.3130e+06 2.8442e+06 6.2164e+06 3.0210e+06 6.0500e+06 3.7680e+06 4.9570e+06 3.8760e+06 4.7500e+06 4.5670e+06 4.0630e+06 5.1780e+06 3.2460e+06 6.0500e+06 3.0210e+06
3.3750 4.1970e+06 2.7769e+06 6.0456e+06 2.9480e+06 5.8860e+06 3.6700e+06 4.8180e+06 3.7740e+06 4.6200e+06 4.4530e+06 3.9490e+06 5.0350e+06 3.1590e+06 5.8860e+06 2.9480e+06
3.4250 4.0830e+06 2.7119e+06 5.8790e+06 2.8770e+06 5.7260e+06 3.5750e+06 4.6820e+06 3.6740e+06 4.4920e+06 4.3410e+06 3.8390e+06 4.8950e+06 3.0740e+06 5.7260e+06 2.8770e+06
3.4750 3.9720e+06 2.6476e+06 5.7159e+06 2.8070e+06 5.5690e+06 3.4820e+06 4.5500e+06 3.5760e+06 4.3680e+06 4.2310e+06 3.7300e+06 4.7590e+06 2.9910e+06 5.5690e+06 2.8070e+06
3.5250 3.8640e+06 2.5837e+06 5.5568e+06 2.7380e+06 5.4160e+06 3.3900e+06 4.4210e+06 3.4810e+06 4.2470e+06 4.1240e+06 3.6250e+06 4.6250e+06 2.9100e+06 5.4160e+06 2.7380e+06
3.5750 3.7590e+06 2.5207e+06 5.4016e+06 2.6700e+06 5.2670e+06 3.3010e+06 4.2950e+06 3.3880e+06 4.1290e+06 4.0180e+06 3.5220e+06 4.4950e+06 2.8310e+06 5.2670e+06 2.6700e+06
3.6250 3.6550e+06 2.4603e+06 5.2517e+06 2.6040e+06 5.1220e+06 3.2140e+06 4.1730e+06 3.2970e+06 4.0140e+06 3.9150e+06 3.4220e+06 4.3680e+06 2.7540e+06 5.1220e+06 2.6040e+06
3.6750 3.5550e+06 2.4011e+06 5.1040e+06 2.5400e+06 4.9800e+06 3.1290e+06 4.0540e+06 3.2090e+06 3.9010e+06 3.8150e+06 3.3250e+06 4.2450e+06 2.6790e+06 4.9800e+06 2.5400e+06
3.7250 3.4570e+06 2.3419e+06 4.9609e+06 2.4760e+06 4.8420e+06 3.0460e+06 3.9380e+06 3.1220e+06 3.7920e+06 3.7170e+06 3.2300e+06 4.1250e+06 2.6050e+06 4.8420e+06 2.4760e+06
3.7750 3.3620e+06 2.2852e+06 4.8218e+06 2.4150e+06 4.7080e+06 2.9650e+06 3.8250e+06 3.0380e+06 3.6860e+06 3.6200e+06 3.1380e+06 4.0080e+06 2.5340e+06 4.7080e+06 2.4150e+06
3.8250 3.2690e+06 2.2286e+06 4.6863e+06 2.3540e+06 4.5770e+06 2.8860e+06 3.7160e+06 2.9550e+06 3.5820e+06 3.5270e+06 3.0480e+06 3.8940e+06 2.4640e+06 4.5770e+06 2.3540e+06
3.8750 3.1780e+06 2.1742e+06 4.5548e+06 2.2950e+06 4.4500e+06 2.8090e+06 3.6090e+06 2.8750e+06 3.4810e+06 3.4350e+06 2.9600e+06 3.7840e+06 2.3960e+06 4.4500e+06 2.2950e+06
3.9250 3.0900e+06 2.1207e+06 4.4266e+06 2.2370e+06 4.3260e+06 2.7340e+06 3.5060e+06 2.7980e+06 3.3830e+06 3.3460e+06 2.8760e+06 3.6760e+06 2.3310e+06 4.3260e+06 2.2370e+06
