# FONLL heavy quark hadroproduction cross section, calculated on Tue Apr  7 18:40:05 CEST 2020
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = meson (meson = D0). NP params (cm,lm,hm) = 0.1, 0.06, 0.135
# BR(q->meson) = 1
# ebeam1 = 2515, ebeam2 = 2515
# PDF set = CTEQ6.6
# ptmin = 0
# ptmax = 50
# ymin  = -0.5
# ymax  = 0.5
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
pt central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
3.2032 5.6514e+07 2.4102e+07 1.0657e+08 2.6464e+07 1.0401e+08 4.6019e+07 7.1074e+07 5.0401e+07 6.2627e+07 5.2082e+07 5.2899e+07 7.9566e+07 3.6059e+07 1.0401e+08 2.6464e+07
3.2533 5.4348e+07 2.3569e+07 1.0198e+08 2.5832e+07 9.9543e+07 4.4332e+07 6.8233e+07 4.8529e+07 6.0168e+07 5.0545e+07 5.0704e+07 7.6108e+07 3.4769e+07 9.9543e+07 2.5832e+07
3.3033 5.2266e+07 2.3034e+07 9.7608e+07 2.5202e+07 9.5276e+07 4.2708e+07 6.5508e+07 4.6725e+07 5.7808e+07 4.9036e+07 4.8608e+07 7.2815e+07 3.3525e+07 9.5276e+07 2.5202e+07
3.3534 5.0266e+07 2.2499e+07 9.3430e+07 2.4577e+07 9.1203e+07 4.1143e+07 6.2896e+07 4.4988e+07 5.5545e+07 4.7556e+07 4.6608e+07 6.9677e+07 3.2325e+07 9.1203e+07 2.4577e+07
3.4034 4.8345e+07 2.1966e+07 8.9442e+07 2.3958e+07 8.7314e+07 3.9636e+07 6.0392e+07 4.3316e+07 5.3374e+07 4.6108e+07 4.4698e+07 6.6688e+07 3.1169e+07 8.7314e+07 2.3958e+07
3.4535 4.6500e+07 2.1436e+07 8.5636e+07 2.3346e+07 8.3602e+07 3.8185e+07 5.7993e+07 4.1706e+07 5.1293e+07 4.4693e+07 4.2875e+07 6.3840e+07 3.0055e+07 8.3602e+07 2.3346e+07
3.5035 4.4727e+07 2.0910e+07 8.2003e+07 2.2742e+07 8.0059e+07 3.6789e+07 5.5693e+07 4.0157e+07 4.9298e+07 4.3312e+07 4.1135e+07 6.1127e+07 2.8982e+07 8.0059e+07 2.2742e+07
3.5536 4.3026e+07 2.0390e+07 7.8536e+07 2.2147e+07 7.6678e+07 3.5446e+07 5.3490e+07 3.8667e+07 4.7385e+07 4.1966e+07 3.9474e+07 5.8542e+07 2.7948e+07 7.6678e+07 2.2147e+07
3.6036 4.1392e+07 1.9876e+07 7.5226e+07 2.1562e+07 7.3450e+07 3.4153e+07 5.1380e+07 3.7234e+07 4.5551e+07 4.0655e+07 3.7888e+07 5.6080e+07 2.6952e+07 7.3450e+07 2.1562e+07
3.6537 3.9824e+07 1.9370e+07 7.2068e+07 2.0987e+07 7.0370e+07 3.2910e+07 4.9358e+07 3.5855e+07 4.3793e+07 3.9381e+07 3.6374e+07 5.3734e+07 2.5993e+07 7.0370e+07 2.0987e+07
