# Job started on: Wed Aug  4 01:17:48 CEST 2021 ........
# FONLL heavy quark hadroproduction cross section, calculated on Wed Aug  4 01:19:06 CEST 2021
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = meson (meson = D0). NP params (cm,lm,hm) = 0.1, 0.06, 0.135
# BR(q->meson) = 1
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# ptmin = 0
# ptmax = 12
# ymin  = -0.5
# ymax  = 0.5
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf   fr=.5 .5     fr=2 2     fr=2 1     fr=1 2    fr=1 .5    fr=.5 1
pt central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
6.9580 1.0740e+07 7.1986e+06 1.6172e+07 7.5260e+06 1.5874e+07 9.6046e+06 1.2233e+07 9.7802e+06 1.1700e+07 1.1678e+07 9.9490e+06 1.3259e+07 7.8167e+06 1.5874e+07 7.5260e+06
7.0588 1.0189e+07 6.8756e+06 1.5284e+07 7.1852e+06 1.5004e+07 9.1254e+06 1.1587e+07 9.2810e+06 1.1097e+07 1.1107e+07 9.4310e+06 1.2541e+07 7.4334e+06 1.5004e+07 7.1852e+06
7.1597 9.6709e+06 6.5685e+06 1.4453e+07 6.8616e+06 1.4190e+07 8.6739e+06 1.0980e+07 8.8113e+06 1.0531e+07 1.0567e+07 8.9445e+06 1.1868e+07 7.0718e+06 1.4190e+07 6.8616e+06
7.2605 9.1832e+06 6.2765e+06 1.3675e+07 6.5542e+06 1.3426e+07 8.2483e+06 1.0411e+07 8.3690e+06 9.9974e+06 1.0056e+07 8.4873e+06 1.1238e+07 6.7306e+06 1.3426e+07 6.5542e+06
7.3613 8.7240e+06 5.9990e+06 1.2945e+07 6.2621e+06 1.2711e+07 7.8468e+06 9.8758e+06 7.9524e+06 9.4956e+06 9.5737e+06 8.0574e+06 1.0646e+07 6.4084e+06 1.2711e+07 6.2621e+06
7.4622 8.2915e+06 5.7351e+06 1.2261e+07 5.9846e+06 1.2040e+07 7.4681e+06 9.3726e+06 7.5598e+06 9.0232e+06 9.1170e+06 7.6530e+06 1.0091e+07 6.1042e+06 1.2040e+07 5.9846e+06
7.5630 7.8839e+06 5.4840e+06 1.1618e+07 5.7207e+06 1.1410e+07 7.1106e+06 8.8993e+06 7.1896e+06 8.5782e+06 8.6848e+06 7.2723e+06 9.5696e+06 5.8168e+06 1.1410e+07 5.7207e+06
7.6639 7.4996e+06 5.2452e+06 1.1015e+07 5.4699e+06 1.0818e+07 6.7730e+06 8.4538e+06 6.8405e+06 8.1588e+06 8.2757e+06 6.9138e+06 9.0798e+06 5.5451e+06 1.0818e+07 5.4699e+06
7.7647 7.1372e+06 5.0181e+06 1.0448e+07 5.2314e+06 1.0262e+07 6.4541e+06 8.0344e+06 6.5111e+06 7.7633e+06 7.8884e+06 6.5759e+06 8.6192e+06 5.2882e+06 1.0262e+07 5.2314e+06
7.8655 6.7952e+06 4.8019e+06 9.9154e+06 5.0046e+06 9.7395e+06 6.1527e+06 7.6392e+06 6.2002e+06 7.3903e+06 7.5215e+06 6.2575e+06 8.1860e+06 5.0452e+06 9.7395e+06 5.0046e+06
